category,params,action,widgetEn,widgetAr,navigationEn,navigationAr,keywordsEn,keywordsAr
navigation.promotion,promotions,openWidget,Promotions,\u0627\u0644\u062a\u0631\u0642\u064a\u0627\u062a,Home -> Promotion,\u0627\u0644\u0635\u0641\u062d\u0629 \u0627\u0644\u0631\u0626\u064a\u0633\u064a\u0629 \u002d\u003e \u0627\u0644\u062a\u0631\u0648\u064a\u062c,"Promotion, advertisement",\u0627\u0644\u062a\u0631\u0648\u064a\u062c\u060c \u0627\u0644\u0625\u0639\u0644\u0627\u0646
navigation.notifications,notifications,openWidget,Notifications,\u0625\u0634\u0639\u0627\u0631\u0627\u062a,Home -> Welcome banner,\u0627\u0644\u0635\u0641\u062d\u0629 \u0627\u0644\u0631\u0626\u064a\u0633\u064a\u0629 \u002d\u003e \u0634\u0639\u0627\u0631 \u0627\u0644\u062a\u0631\u062d\u064a\u0628,"Notifications, Read, unread",\u0627\u0644\u0625\u062e\u0637\u0627\u0631\u0627\u062a\u060c \u0645\u0642\u0631\u0648\u0621\u0629\u060c \u063a\u064a\u0631 \u0645\u0642\u0631\u0648\u0621\u0629
navigation.accountsummary,accSummary,openWidget,Account summary,,Home -> Carousel,,"account summary, Buying Power, Portfolio Value",
navigation.autoinvest,autoInvest,openWidget,Auto Invest,,Home,,"auto-invest, Recurring, Investing",
navigation.tradeglobal,tradeGlobal,openWidget,Trade Global,,Home,,trade global,
navigation.fullmarketwatch,fullMarketWatchList,openWidget,Full marketwatch,,Explore -> Popular Lists,,"full market watch, Main market, nomu-parallel, 
Change, Change %, symbol, markets",
navigation.favouritewls,favouriteWatchlist,openWidget,Favourite WLs,,Explore -> Popular Lists,,"Watchlists, Add, Buy, Sell, Change, Change %, favourite, my watchlists",
navigation.mutualfunds,default,openWidget,Mutual Funds,,Explore -> Popular Lists,,"our mutual funds, Cutoff, ytd, valuation, risk profile, fund",
navigation.dailymovers,default,openWidget,Daily Movers,,Explore -> Popular Lists,,"daily movers, Most active, volume, top 10",
navigation.topmovers,default,openWidget,Top Movers,,Explore -> Popular Lists,,"top movers, Turnover, top 10",
navigation.toplosers,default,openWidget,Top Losers,,Explore -> Popular Lists,,"top losers, Percentage change, top 10, loss",
navigation.topgainers,default,openWidget,Top Gainers,,Explore -> Popular Lists,,"top gainers, Gained, percentage change, top 10",
navigation.index(detailed),default,openWidget,Index (Detailed),,Home/Explore,,"Live, TDWL, TASI, exchange",
navigation.aboutindex,default,openWidget,About Index,,Home/Explore -> Index,,"about, exchange",
navigation.statistics,default,openWidget,Statistics,,Home/Explore -> Index,,"statistics, Prev.closed, day range",
navigation.news,default,openWidget,News,,Home/Explore -> Index,,news,
navigation.marketnews,default,openWidget,Market News,,Explore ,,"News, announcements, market",
navigation.curatedwls,default,openWidget,Curated WLs,,Watchlists,,"curated watchlists, Name, change, change %",
navigation.symbol(detailed),default,openWidget,Symbol (Detailed),,Symbol list,,"symbol details, Earnings, TDWL, bid, offer",
navigation.aboutsymbol,default,openWidget,About Symbol,,Symbol list -> Symbol details,,"About, symbol info",
navigation.statistics,default,openWidget,Statistics,,Symbol list -> Symbol details,,"statistics, Open, high, low, best bid, 
best offer",
navigation.marketdepth,default,openWidget,Market Depth,,Symbol list -> Symbol details,,"Depth by price, depth by order, bid, ask",
navigation.timeandsales,default,openWidget,Time and Sales,,Symbol list -> Symbol details,,"time and sales, time, sq, price, change",
navigation.symbolnews,default,openWidget,Symbol News,,Symbol list -> Symbol details,,"symbol, news",
navigation.earnings,default,openWidget,Earnings,,Symbol list -> Symbol details,,"earnings, actual, income",
navigation.relatedstocks,default,openWidget,Related Stocks,,Symbol list -> Symbol details,,"stocks related to this stector, Related, sector",
navigation.yourpositions,default,openWidget,Your positions,,Home -> Stock holdings -> Symbol details,,"your position, Today's return, portfolio diversity, available quantity, holdings",
navigation.yourrecentactivity,default,openWidget,Your recent activity,,Home -> Stock holdings -> Symbol details,,"your recent activity, Type, quantity, price, trading",
navigation.buyorderticket,default,openWidget,Buy Order ticket,,Quick menu/Symbol details,,"Buy, Buying Power, order value, portfolio, order ticket",
navigation.sellorderticket,default,openWidget,Sell Order ticket,,Quick menu/Symbol details,,"Sell, Available shares, estimated credit, order ticket",
navigation.advancedordersettings,default,openWidget,Advanced order settings,,Order ticket,,"advanced order settings, settings, Good till, Min fill",
navigation.conditionalorders,default,openWidget,Conditional orders,,Order ticket,,"conditional orders, Expiry date, condition, tradable, 
conditional",
navigation.userprofile,default,openWidget,User Profile,,More -> My Account -> User Profile,,"user profile, First name, Email, Mobile number
Notification language, profile",
navigation.editprofilepicture,default,openWidget,Edit Profile Picture,,More -> My Account -> User Profile,,"profile picture, Update, edit",
navigation.rightssubscription,default,openWidget,Rights Subscription,,More -> My Account -> Rights Subscription,,"rights subscription, Subscription date, rights",
navigation.investmentaccounts,default,openWidget,Investment Accounts,,More -> My Account -> Investment Accounts,,"investment accounts, IBAN, Trading account",
navigation.depositinstructions,default,openWidget,Deposit Instructions,,More -> My Account -> Investment Accounts,,"deposit instructions, IBAN, account number, beneficiary",
navigation.investmentaccounttransfer,default,openWidget,Investment Account Transfer,,"More -> My Account -> Investment Accounts ->
Transfer",,"investment, Transfer from, transform to, blocked 
amount, receivable amount",
navigation.inv.acc.transferhistory,default,openWidget,Inv. Acc. Transfer History,,"More -> My Account -> Investment Accounts ->
History",,"investment, transfer, history, Date range, Currency, 
Transfer date",
navigation.bankaccounts,default,openWidget,Bank Accounts,,More -> My Account -> Bank Accounts,,"Registered, bank accounts, current account",
navigation.addnewbankaccount,default,openWidget,Add New Bank Account,,More -> My Account -> Bank Accounts,,"bank accounts, Bank name, SWIFT, account name, add, new",
navigation.updatekyc,default,openWidget,Update KYC,,More -> My Account -> Update KYC,,"KYC, Employment, Financial, income, FATCA, ",
navigation.tadawulaty,default,openWidget,Tadawulaty,,More -> My Account -> Tadawulaty,,tadawulaty,
navigation.stockstatement,default,openWidget,Stock Statement,,More -> My Account -> Stock Statement,,"stock statement, Avg. price, order date, date range",
navigation.cashstatement,default,openWidget,Cash Statement,,More -> My Account -> Cash Statement,,"cash statement, transaction date, settlement date, cash balance",
navigation.annualstatement,default,openWidget,Annual Statement,,More -> My Account -> Annual Statement,,"annual statement, generate statement, request id, request date",
navigation.changepassword,default,openWidget,Change Password,,More -> My Account -> Change Password,,"change password, user name, new password, current password",
navigation.closeaccount,default,openWidget,Close Account,,More -> My Account -> Close Account,,"privacy policy, close account",
navigation.cashandmargin,default,openWidget,Cash and Margin,,More -> Cash and Margin,,"buying power, total assets, available cash, withdrawal",
navigation.cashtransferhistory,default,openWidget,Cash transfer history,,More -> Cash and Margin -> All History,,"cash, transfer, history, withdrawal",
navigation.addcashaccount,default,openWidget,Add cash account,,More -> Cash and Margin -> Transfer,,"add, cash account, Bank name, SWIFT, account name",
navigation.depositinstructions,default,openWidget,Deposit Instructions,,"More -> Cash and Margin ->  Transfer -> 
Deposit Instructions",,"instructions, IBAN, beneficiary, deposit, account number",
navigation.quicktransfer,default,openWidget,Quick transfer,,"More -> Cash and Margin ->  Transfer -> 
Transfer to anb",,"anb, to account, cash balance, quick transfer",
navigation.localtransfer,default,openWidget,Local transfer,,"More -> Cash and Margin ->  Transfer -> 
Transfer to other banks",,"local transfer, other banks",
navigation.investmentaccounttransfer,default,openWidget,Investment account transfer,,"More -> Cash and Margin ->  Transfer -> 
Transfer Between Investment Accounts",,"Transfer from, transform to, blocked 
amount, receivable amount, investment account transfer",
navigation.marginlending,default,openWidget,Margin lending,,More -> Cash and Margin ->  Margin,,"margin, margin facility , product name, margin lending",
navigation.marginsymbols,default,openWidget,Margin symbols,,More -> Cash and Margin ->  Margin -> Symbols,,"margin, %, equities, ETFs",
navigation.applyformargin,default,openWidget,Apply for margin,,"More -> Cash and Margin ->  Margin -> 
Apply for Margin",,"apply margin, tenor, available offers, profile rate",
navigation.transfers,default,openWidget,Transfers,,More -> Transfers,,"transfers, transfer between, deposit, withdraw",
navigation.holdings,default,openWidget,Holdings,,More -> Holdings,,"holdings, shares, number owned, avg.cost, G/L, market price",
navigation.orderlist,default,openWidget,Order list,,More -> Orders,,"order list, price, side, oms accepted, status, submitted, order",
navigation.savedorders,default,openWidget,Saved orders,,More -> Orders -> Saved,,"saved, price, date, limit, qty, orders",
navigation.scheduledorders,default,openWidget,Scheduled orders,,More -> Orders -> Scheduled,,"starts, ends, quantity, expired, scheduled orders",
navigation.ordersearch,default,openWidget,Order search,,More -> Order Search,,"price, order, filled, symbol, side, order search",
navigation.conditionalorders,default,openWidget,Conditional orders,,More -> Order Search -> Conditional,,"qty, price, order, status, expired, conditional",
navigation.tradableorders,default,openWidget,Tradable orders,,More -> Order Search -> Tradable,,"tradable, qty, price, order, status, expired",
navigation.gainandloss,default,openWidget,Gain and Loss,,More -> Gain and Loss,,"G/L, G/L %, avg. price, gain and loss",
navigation.mutualfunds,default,openWidget,Mutual Funds,,More -> Mutual Funds,,"fund code, fund name, currency, valuation, cutoff, mutual funds",
navigation.updateriskprofile,default,openWidget,Update risk profile,,More -> Mutual Funds -> Fund List,,"eligible, investor, financial, knowledge, risk profile",
navigation.mftransactions,default,openWidget,MF Transactions,,More -> Mutual Funds -> Transactions,,"fund name, subscription, redemption, pending, mutual fund, transactions",
navigation.mfholdings,default,openWidget,MF Holdings,,More -> Mutual Funds -> Holdings,,"available qty, total value, fund name, fund code, find holdings",
navigation.alerts,default,openWidget,Alerts,,More -> Alerts Management,,"alerts, price alerts",
navigation.addnewalert,default,openWidget,Add new alert,,More -> Alerts Management,,"price alerts, condition, recurrence, tone, add new",
navigation.onelogin,default,openWidget,One login,,More -> One Login,,"single sign on, other services, secure connection",
navigation.marginablesymbols,default,openWidget,Marginable symbols,,More -> Marginable Symbols,,"margin, %, equities, ETFs, marginable symbols",
navigation.iposymbollist,default,openWidget,IPO symbol list,,More -> IPO,,"min subscription, max subscription, ipo, ipo symbol",
navigation.iposubscriptionrequests,default,openWidget,IPO subscription requests,,More -> IPO -> subscription requests,,"request id, net amount, subscription date, ipo, ipo subscription",
navigation.allipoorders,default,openWidget,All IPO orders,,More -> IPO -> All IPO orders,,"request id, net amount, subscription date, date range, ipo orders",
navigation.iposymbolpastperformance,default,openWidget,IPO symbol past performance,,More -> IPO -> IPO symbol past performance,,"week max, month max, year max, %, ipo performance",
navigation.helpcenter,default,openWidget,Help center,,More -> Help and Support,,"support, inquiries, customer care, version, copyright",
navigation.anblite,default,openWidget,ANB lite,,More -> Trading Configuration,,"trading configuration, standard, one view",
navigation.themechange,default,openWidget,Theme change,,More -> Appearance,,"appearance, light, dark, change, theme",
navigation.appsettings,default,openWidget,App settings,,More -> App Settings,,"settings, cache, language",
navigation.languagechange,default,openWidget,Language Change,,More -> App Settings -> Application Settings,,"app language, english, change",
navigation.clearappcache,default,openWidget,Clear App Cache,,More -> App Settings -> Troubleshooting,,"troubleshooting, clear cache",
