id,category,params,action,widgetEn,widgetAr,navigationEn,navigationAr,keywordsEn,keywordsAr
1,navigation.promotion,promotions,openWidget,Promotions,\u0627\u0644\u062a\u0631\u0642\u064a\u0627\u062a,Home -> Promotion,\u0627\u0644\u0635\u0641\u062d\u0629 \u0627\u0644\u0631\u0626\u064a\u0633\u064a\u0629 \u002d\u003e \u0627\u0644\u062a\u0631\u0648\u064a\u062c,"Promotion, advertisement",\u0627\u0644\u062a\u0631\u0648\u064a\u062c\u060c \u0627\u0644\u0625\u0639\u0644\u0627\u0646
2,navigation.notifications,notifications,openWidget,Notifications,\u0625\u0634\u0639\u0627\u0631\u0627\u062a,Home -> Welcome banner,\u0627\u0644\u0635\u0641\u062d\u0629 \u0627\u0644\u0631\u0626\u064a\u0633\u064a\u0629 \u002d\u003e \u0634\u0639\u0627\u0631 \u0627\u0644\u062a\u0631\u062d\u064a\u0628,"Notifications, Read, unread",\u0627\u0644\u0625\u062e\u0637\u0627\u0631\u0627\u062a\u060c \u0645\u0642\u0631\u0648\u0621\u0629\u060c \u063a\u064a\u0631 \u0645\u0642\u0631\u0648\u0621\u0629
3,navigation.accountsummary,accSummary,openWidget,Account summary,,Home -> Carousel,,"account summary, Buying Power, Portfolio Value",
4,navigation.autoinvest,autoInvest,openWidget,Auto Invest,,Home,,"auto-invest, Recurring, Investing",
5,navigation.tradeglobal,tradeGlobal,openWidget,Trade Global,,Home,,trade global,
6,navigation.fullmarketwatch,fullMarketWatchList,openWidget,Full marketwatch,,Explore -> Popular Lists,,"full market watch, Main market, nomu-parallel, 
Change, Change %, symbol, markets",
7,navigation.favouritewls,favouriteWatchlist,openWidget,Favourite WLs,,Explore -> Popular Lists,,"Watchlists, Add, Buy, Sell, Change, Change %, favourite, my watchlists",
8,navigation.mutualfunds,default,openWidget,Mutual Funds,,Explore -> Popular Lists,,"our mutual funds, Cutoff, ytd, valuation, risk profile, fund",
9,navigation.dailymovers,default,openWidget,Daily Movers,,Explore -> Popular Lists,,"daily movers, Most active, volume, top 10",
10,navigation.topmovers,default,openWidget,Top Movers,,Explore -> Popular Lists,,"top movers, Turnover, top 10",
11,navigation.toplosers,default,openWidget,Top Losers,,Explore -> Popular Lists,,"top losers, Percentage change, top 10, loss",
12,navigation.topgainers,default,openWidget,Top Gainers,,Explore -> Popular Lists,,"top gainers, Gained, percentage change, top 10",
13,navigation.index(detailed),default,openWidget,Index (Detailed),,Home/Explore,,"Live, TDWL, TASI, exchange",
14,navigation.aboutindex,default,openWidget,About Index,,Home/Explore -> Index,,"about, exchange",
15,navigation.statistics,default,openWidget,Statistics,,Home/Explore -> Index,,"statistics, Prev.closed, day range",
16,navigation.news,default,openWidget,News,,Home/Explore -> Index,,news,
17,navigation.marketnews,default,openWidget,Market News,,Explore ,,"News, announcements, market",
18,navigation.curatedwls,default,openWidget,Curated WLs,,Watchlists,,"curated watchlists, Name, change, change %",
19,navigation.symbol(detailed),default,openWidget,Symbol (Detailed),,Symbol list,,"symbol details, Earnings, TDWL, bid, offer",
20,navigation.aboutsymbol,default,openWidget,About Symbol,,Symbol list -> Symbol details,,"About, symbol info",
21,navigation.statistics,default,openWidget,Statistics,,Symbol list -> Symbol details,,"statistics, Open, high, low, best bid, 
best offer",
22,navigation.marketdepth,default,openWidget,Market Depth,,Symbol list -> Symbol details,,"Depth by price, depth by order, bid, ask",
23,navigation.timeandsales,default,openWidget,Time and Sales,,Symbol list -> Symbol details,,"time and sales, time, sq, price, change",
24,navigation.symbolnews,default,openWidget,Symbol News,,Symbol list -> Symbol details,,"symbol, news",
25,navigation.earnings,default,openWidget,Earnings,,Symbol list -> Symbol details,,"earnings, actual, income",
26,navigation.relatedstocks,default,openWidget,Related Stocks,,Symbol list -> Symbol details,,"stocks related to this stector, Related, sector",
27,navigation.yourpositions,default,openWidget,Your positions,,Home -> Stock holdings -> Symbol details,,"your position, Today's return, portfolio diversity, available quantity, holdings",
28,navigation.yourrecentactivity,default,openWidget,Your recent activity,,Home -> Stock holdings -> Symbol details,,"your recent activity, Type, quantity, price, trading",
29,navigation.buyorderticket,default,openWidget,Buy Order ticket,,Quick menu/Symbol details,,"Buy, Buying Power, order value, portfolio, order ticket",
30,navigation.sellorderticket,default,openWidget,Sell Order ticket,,Quick menu/Symbol details,,"Sell, Available shares, estimated credit, order ticket",
31,navigation.advancedordersettings,default,openWidget,Advanced order settings,,Order ticket,,"advanced order settings, settings, Good till, Min fill",
32,navigation.conditionalorders,default,openWidget,Conditional orders,,Order ticket,,"conditional orders, Expiry date, condition, tradable, 
conditional",
33,navigation.userprofile,default,openWidget,User Profile,,More -> My Account -> User Profile,,"user profile, First name, Email, Mobile number
Notification language, profile",
34,navigation.editprofilepicture,default,openWidget,Edit Profile Picture,,More -> My Account -> User Profile,,"profile picture, Update, edit",
35,navigation.rightssubscription,default,openWidget,Rights Subscription,,More -> My Account -> Rights Subscription,,"rights subscription, Subscription date, rights",
36,navigation.investmentaccounts,default,openWidget,Investment Accounts,,More -> My Account -> Investment Accounts,,"investment accounts, IBAN, Trading account",
37,navigation.depositinstructions,default,openWidget,Deposit Instructions,,More -> My Account -> Investment Accounts,,"deposit instructions, IBAN, account number, beneficiary",
38,navigation.investmentaccounttransfer,default,openWidget,Investment Account Transfer,,"More -> My Account -> Investment Accounts ->
Transfer",,"investment, Transfer from, transform to, blocked 
amount, receivable amount",
39,navigation.inv.acc.transferhistory,default,openWidget,Inv. Acc. Transfer History,,"More -> My Account -> Investment Accounts ->
History",,"investment, transfer, history, Date range, Currency, 
Transfer date",
40,navigation.bankaccounts,default,openWidget,Bank Accounts,,More -> My Account -> Bank Accounts,,"Registered, bank accounts, current account",
41,navigation.addnewbankaccount,default,openWidget,Add New Bank Account,,More -> My Account -> Bank Accounts,,"bank accounts, Bank name, SWIFT, account name, add, new",
42,navigation.updatekyc,default,openWidget,Update KYC,,More -> My Account -> Update KYC,,"KYC, Employment, Financial, income, FATCA, ",
43,navigation.tadawulaty,default,openWidget,Tadawulaty,,More -> My Account -> Tadawulaty,,tadawulaty,
44,navigation.stockstatement,default,openWidget,Stock Statement,,More -> My Account -> Stock Statement,,"stock statement, Avg. price, order date, date range",
45,navigation.cashstatement,default,openWidget,Cash Statement,,More -> My Account -> Cash Statement,,"cash statement, transaction date, settlement date, cash balance",
46,navigation.annualstatement,default,openWidget,Annual Statement,,More -> My Account -> Annual Statement,,"annual statement, generate statement, request id, request date",
47,navigation.changepassword,default,openWidget,Change Password,,More -> My Account -> Change Password,,"change password, user name, new password, current password",
48,navigation.closeaccount,default,openWidget,Close Account,,More -> My Account -> Close Account,,"privacy policy, close account",
49,navigation.cashandmargin,default,openWidget,Cash and Margin,,More -> Cash and Margin,,"buying power, total assets, available cash, withdrawal",
50,navigation.cashtransferhistory,default,openWidget,Cash transfer history,,More -> Cash and Margin -> All History,,"cash, transfer, history, withdrawal",
51,navigation.addcashaccount,default,openWidget,Add cash account,,More -> Cash and Margin -> Transfer,,"add, cash account, Bank name, SWIFT, account name",
52,navigation.depositinstructions,default,openWidget,Deposit Instructions,,"More -> Cash and Margin ->  Transfer -> 
Deposit Instructions",,"instructions, IBAN, beneficiary, deposit, account number",
53,navigation.quicktransfer,default,openWidget,Quick transfer,,"More -> Cash and Margin ->  Transfer -> 
Transfer to anb",,"anb, to account, cash balance, quick transfer",
54,navigation.localtransfer,default,openWidget,Local transfer,,"More -> Cash and Margin ->  Transfer -> 
Transfer to other banks",,"local transfer, other banks",
55,navigation.investmentaccounttransfer,default,openWidget,Investment account transfer,,"More -> Cash and Margin ->  Transfer -> 
Transfer Between Investment Accounts",,"Transfer from, transform to, blocked 
amount, receivable amount, investment account transfer",
56,navigation.marginlending,default,openWidget,Margin lending,,More -> Cash and Margin ->  Margin,,"margin, margin facility , product name, margin lending",
57,navigation.marginsymbols,default,openWidget,Margin symbols,,More -> Cash and Margin ->  Margin -> Symbols,,"margin, %, equities, ETFs",
58,navigation.applyformargin,default,openWidget,Apply for margin,,"More -> Cash and Margin ->  Margin -> 
Apply for Margin",,"apply margin, tenor, available offers, profile rate",
59,navigation.transfers,default,openWidget,Transfers,,More -> Transfers,,"transfers, transfer between, deposit, withdraw",
60,navigation.holdings,default,openWidget,Holdings,,More -> Holdings,,"holdings, shares, number owned, avg.cost, G/L, market price",
61,navigation.orderlist,default,openWidget,Order list,,More -> Orders,,"order list, price, side, oms accepted, status, submitted, order",
62,navigation.savedorders,default,openWidget,Saved orders,,More -> Orders -> Saved,,"saved, price, date, limit, qty, orders",
63,navigation.scheduledorders,default,openWidget,Scheduled orders,,More -> Orders -> Scheduled,,"starts, ends, quantity, expired, scheduled orders",
64,navigation.ordersearch,default,openWidget,Order search,,More -> Order Search,,"price, order, filled, symbol, side, order search",
65,navigation.conditionalorders,default,openWidget,Conditional orders,,More -> Order Search -> Conditional,,"qty, price, order, status, expired, conditional",
66,navigation.tradableorders,default,openWidget,Tradable orders,,More -> Order Search -> Tradable,,"tradable, qty, price, order, status, expired",
67,navigation.gainandloss,default,openWidget,Gain and Loss,,More -> Gain and Loss,,"G/L, G/L %, avg. price, gain and loss",
68,navigation.mutualfunds,default,openWidget,Mutual Funds,,More -> Mutual Funds,,"fund code, fund name, currency, valuation, cutoff, mutual funds",
